–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,75/ 7   22,086   101,270   101,270   238,436   1,350   4,381   119,157   81,651   9,874   23,984   0,000   0,000   0,000   669,601      
0,75/ 8   25,241   115,738   115,738   208,631   1,181   3,834   104,263   71,445   8,640   20,986   0,000   0,000   0,000   646,071      
0,75/ 9   28,396   130,205   130,205   185,450   1,050   3,408   92,678   63,506   7,680   18,654   0,000   0,000   0,000   634,898      
0,75/10   31,551   144,672   144,672   166,905   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   632,378      
0,75/11   34,706   159,139   159,139   151,732   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   636,15      
0,75/12   37,861   173,606   173,606   139,088   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   644,642      
0,75/13   41,016   188,074   188,074   128,389   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   656,767      
0,75/14   44,172   202,541   202,541   119,218   0,675   2,191   59,579   40,826   4,937   11,992   0,000   0,000   0,000   671,743      
0,75/15   47,327   217,008   217,008   111,270   0,630   2,045   55,607   38,104   4,608   11,193   0,000   0,000   0,000   688,999      
0,75/16   50,482   231,475   231,475   104,316   0,591   1,917   52,131   35,722   4,320   10,493   0,000   0,000   0,000   708,109      
0,75/17   53,637   245,942   245,942   98,180   0,556   1,804   49,065   33,621   4,066   9,876   0,000   0,000   0,000   728,747      
0,75/18   56,792   260,410   260,410   92,725   0,525   1,704   46,339   31,753   3,840   9,327   0,000   0,000   0,000   750,658      
0,75/19   59,947   274,877   274,877   87,845   0,497   1,614   43,900   30,082   3,638   8,836   0,000   0,000   0,000   773,639      
0,75/20   63,102   289,344   289,344   83,453   0,472   1,533   41,705   28,578   3,456   8,394   0,000   0,000   0,000   797,531      
0,75/21   66,257   303,811   303,811   79,479   0,450   1,460   39,719   27,217   3,291   7,995   0,000   0,000   0,000   822,204      
0,75/22   69,412   318,278   318,278   75,866   0,429   1,394   37,914   25,980   3,142   7,631   0,000   0,000   0,000   847,551      
0,75/23   72,567   332,746   332,746   72,567   0,411   1,333   36,265   24,850   3,005   7,300   0,000   0,000   0,000   873,485      
0,75/25   78,878   361,680   361,680   66,762   0,378   1,227   33,364   22,862   2,765   6,716   0,000   0,000   0,000   926,831      
0,80/ 1   3,155   15,432   15,432   1780,322   9,449   30,670   834,102   571,558   69,118   167,889   0,000   0,000   0,000   3260,12      
0,80/ 2   6,310   30,863   30,863   890,161   4,724   15,335   417,051   285,779   34,559   83,944   0,000   0,000   0,000   1681,086      
0,80/ 3   9,465   46,295   46,295   593,441   3,150   10,223   278,034   190,519   23,039   55,963   0,000   0,000   0,000   1177,422      
0,80/ 4   12,620   61,727   61,727   445,081   2,362   7,667   208,525   142,889   17,280   41,972   0,000   0,000   0,000   942,598      
0,80/ 5   15,776   77,158   77,158   356,064   1,890   6,134   166,820   114,312   13,824   33,578   0,000   0,000   0,000   815,312      
0,80/ 6   18,931   92,590   92,590   296,720   1,575   5,112   139,017   95,260   11,520   27,981   0,000   0,000   0,000   741,795      
0,80/ 7   22,086   108,022   108,022   254,332   1,350   4,381   119,157   81,651   9,874   23,984   0,000   0,000   0,000   699,001      
0,80/ 8   25,241   123,453   123,453   222,540   1,181   3,834   104,263   71,445   8,640   20,986   0,000   0,000   0,000   675,41      
0,80/ 9   28,396   138,885   138,885   197,814   1,050   3,408   92,678   63,506   7,680   18,654   0,000   0,000   0,000   664,622      
0,80/10   31,551   154,317   154,317   178,032   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   662,795      
0,80/11   34,706   169,748   169,748   161,847   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   667,483      
0,80/12   37,861   185,180   185,180   148,360   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   677,062      
0,80/13   41,016   200,612   200,612   136,948   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   690,402      
0,80/14   44,172   216,044   216,044   127,166   0,675   2,191   59,579   40,826   4,937   11,992   0,000   0,000   0,000   706,697      
0,80/15   47,327   231,475   231,475   118,688   0,630   2,045   55,607   38,104   4,608   11,193   0,000   0,000   0,000   725,351      
0,80/16   50,482   246,907   246,907   111,270   0,591   1,917   52,131   35,722   4,320   10,493   0,000   0,000   0,000   745,927      
0,80/17   53,637   262,339   262,339   104,725   0,556   1,804   49,065   33,621   4,066   9,876   0,000   0,000   0,000   768,086      
0,80/18   56,792   277,770   277,770   98,907   0,525   1,704   46,339   31,753   3,840   9,327   0,000   0,000   0,000   791,56      
0,80/19   59,947   293,202   293,202   93,701   0,497   1,614   43,900   30,082   3,638   8,836   0,000   0,000   0,000   816,145      
0,80/20   63,102   308,634   308,634   89,016   0,472   1,533   41,705   28,578   3,456   8,394   0,000   0,000   0,000   841,674      
0,80/21   66,257   324,065   324,065   84,777   0,450   1,460   39,719   27,217   3,291   7,995   0,000   0,000   0,000   868,01      
0,80/22   69,412   339,497   339,497   80,924   0,429   1,394   37,914   25,980   3,142   7,631   0,000   0,000   0,000   895,047      
0,80/23   72,567   354,929   354,929   77,405   0,411   1,333   36,265   24,850   3,005   7,300   0,000   0,000   0,000   922,689      
0,80/25   78,878   385,792   385,792   71,213   0,378   1,227   33,364   22,862   2,765   6,716   0,000   0,000   0,000   979,506      
                                                
ќптимизационные значени€
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,50/11   34,706   106,093   106,093   101,155   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   479,481      
0,33/12   37,861   77,081   77,081   61,755   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   374,259      
0,25/13   41,016   62,691   62,691   42,796   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   320,408      
0,20/13   41,016   50,153   50,153   34,237   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   286,773      
0,67/10   31,551   128,662   128,662   148,434   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   581,887      
0,63/10   31,551   120,560   120,560   139,088   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   556,337      
0,75/10   31,551   144,672   144,672   166,905   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   632,378      
0,80/10   31,551   154,317   154,317   178,032   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   662,795      
                                                
–асчет эффективности
ar/ћес€ц   —уп   Ён   Ёос   Ёоб   Ёс   Ёз   Ёq   Ёобщ      
0,50/11   74,97   35,86   0,16   0,08   0,08   0,01   16,40   391,00      
0,33/12   79,16   37,86   0,16   0,08   0,09   0,01   16,40   391,00      
                              
ƒельта и т.д.
ar/ћес€ц   Smax   —умма   ƒельта Smax-—умма      
0,50/25   922,689   663,457   259,232      
0,33/25   922,689   487,523   435,166      
0,25/25   922,689   400,083   522,606      
0,20/25   922,689   347,408   575,281      
0,67/25   922,689   839,391   83,298      
0,63/25   922,689   795,144   127,545      
0,75/25   922,689   926,831   -4,142      
0,80/25   922,689   979,506   -56,817      
               
