–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,67/ 8   9,321   47,099   47,099   80,616   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   239,255      
0,67/ 9   10,486   52,986   52,986   71,659   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   237,113      
0,67/10   11,651   58,873   58,873   64,493   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   237,986      
0,67/11   12,816   64,761   64,761   58,630   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   241,055      
0,67/12   13,981   70,648   70,648   53,744   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   245,768      
0,67/13   15,146   76,535   76,535   49,610   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   251,745      
0,67/14   16,312   82,423   82,423   46,066   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   258,721      
0,67/15   17,477   88,310   88,310   42,995   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   266,489      
0,67/16   18,642   94,197   94,197   40,308   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   274,903      
0,67/17   19,807   100,085   100,085   37,937   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   283,852      
0,67/18   20,972   105,972   105,972   35,829   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   293,242      
0,67/19   22,137   111,860   111,860   33,944   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   303,009      
0,63/ 1   1,165   5,517   5,517   604,318   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   1057,475      
0,63/ 2   2,330   11,033   11,033   302,159   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   547,034      
0,63/ 3   3,495   16,550   16,550   201,439   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   385,019      
0,63/ 4   4,660   22,067   22,067   151,079   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   310,112      
0,63/ 5   5,826   27,583   27,583   120,864   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   270,047      
0,63/ 6   6,991   33,100   33,100   100,720   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   247,404      
0,63/ 7   8,156   38,616   38,616   86,331   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   234,713      
0,63/ 8   9,321   44,133   44,133   75,540   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   228,247      
0,63/ 9   10,486   49,650   49,650   67,146   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   225,928      
0,63/10   11,651   55,166   55,166   60,432   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   226,511      
0,63/11   12,816   60,683   60,683   54,938   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   229,207      
0,63/12   13,981   66,200   66,200   50,360   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   233,488      
